# [lattice] recent context, 2026-05-27 11:37am GMT+5:30

**Legend:** session-request | 🔴 bugfix | 🟣 feature | 🔄 refactor | ✅ change | 🔵 discovery | ⚖️ decision

**Column Key**:
- **Read**: Tokens to read this observation (cost to learn it now)
- **Work**: Tokens spent on work that produced this record ( research, building, deciding)

**Context Index:** This semantic index (titles, types, files, tokens) is usually sufficient to understand past work.

When you need implementation details, rationale, or debugging context:
- Fetch by ID: get_observations([IDs]) for observations visible in this index
- Search history: Use the mem-search skill for past decisions, bugs, and deeper research
- Trust this index over re-reading code for past decisions and learnings

**Context Economics**:
- Loading: 50 observations (17,116 tokens to read)
- Work investment: 374,821 tokens spent on research, building, and decisions
- Your savings: 95% reduction from reuse

### May 6, 2026

**#S292** Modernize FileTree with file icons and add oil.nvim-style buffer manipulation (May 6 at 12:55 AM)

**#S294** Implement modern file icons for FileTree and add oil.nvim-style buffer manipulation capabilities (May 6 at 1:09 AM)

**#S295** Modernize FileTree with file icons and explore oil.nvim-style buffer manipulation (May 6 at 2:01 PM)

**#S296** Beautify FileTree with modern file icons and explore oil.nvim-style buffer manipulation capabilities (May 6 at 2:29 PM)

**#S297** Phase 5.B.19 - Complete LSP request channel field migration from App to Editor (May 6 at 2:33 PM)

### May 15, 2026

**#S304** Fix font configuration compilation errors in lattice GPUI editor to enable configurable font family and size (May 15 at 2:23 PM)

### May 22, 2026

**crates/lattice-host/src/ui/theme_options.rs**
| ID | Time | T | Title | Read | Work |
| #920 | 8:10 AM | ✅ | Popup dimensions increased from 640x400 to 900x600 |  |  |
| #921 | " | ✅ | Committed popup cursor and size improvements |  |  |

**crates/lattice-host/src/dispatch.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #922 | 8:19 AM | 🔵 | Hover popup flow uses RendererSignal::DisplayBuffer for renderer-agnostic popup display |  |  |

**crates/lattice-ui-gpui/src/lib.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #923 | " | 🔵 | GPUI DisplayBuffer signal handler updates unified popup state via editor.display_buffer |  |  |
| #924 | 8:20 AM | 🔵 | GpuiApp::dispatch_action drains pending work via run_tick_pending after action execution |  |  |
| #925 | " | 🔵 | X1b wake-bridge uses paint_request notification to trigger repaints for idle LSP arrivals |  |  |

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #926 | " | 🔵 | Wake-bridge spawned in EditorView::new as detached async task with weak entity handle |  |  |

**crates/lattice-host/src/dispatch.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #927 | " | 🔵 | Hover request spawns LSP runtime task sending HoverOutcome through unbounded channel |  |  |
| #928 | 8:21 AM | 🔵 | Action::LspHoverRequest dispatches to editor.lsp_hover_request initiating async hover flow |  |  |
| #929 | " | 🔵 | Hover outcomes distinguish between NoBody, NoServers, and successful Body responses |  |  |
| #930 | 8:22 AM | 🔵 | ensure_cursor_visible clamps cursor within viewport using scroll and viewport_height |  |  |
| #931 | " | 🔵 | ensure_cursor_visible handles both upward and downward scroll adjustments |  |  |

**crates/lattice-ui-tui/src/render.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #932 | " | 🔵 | TUI popup height calculated from candidate count via popup_height function |  |  |
| #933 | " | 🔵 | Help popup positioning uses inner_height parameter for boundary clamping |  |  |
| #934 | 8:23 AM | 🔵 | TUI position_help_popup places popups below cursor with fallback to above based on available space |  |  |

**crates/lattice-ui-tui/src/app/help.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #935 | " | 🔵 | TUI help_popup_inner_height computes viewport height with placement-specific caps |  |  |

**crates/lattice-host/src/dispatch.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #936 | " | 🔵 | ensure_cursor_visible called after viewport changes and document mutation guards |  |  |

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #937 | 8:24 AM | 🔵 | GPUI uses per-pane viewport dimensions instead of single global viewport_height |  |  |

**crates/lattice-host/src/editor.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #938 | " | 🔵 | Host Editor lacks popup-specific viewport_height field |  |  |

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #939 | " | 🔵 | collect_pane_geometries recursively distributes viewport dimensions accounting for chrome and split ratios |  |  |

**crates/lattice-host/src/dispatch.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #940 | 8:26 AM | 🔵 | Second K press focuses existing popup via focus_help_popup instead of firing new hover request |  |  |

**crates/lattice-ui-gpui/src/window.rs**
| ID | Time | T | Title | Read | Work |
|----|------|---|-------|------|------|
| #941 | " | 🔵 | CursorAnchored popup positioning uses anchor snapshot and doc_scroll_at_anchor to avoid State B frame jump |  |  |
| #942 | 8:27 AM | 🔵 | GPUI popup hardcodes MAX_POPUP_LINES to 30 but doesn't set viewport_height for popup focus state |  |  |
| #943 | 8:35 AM | 🔵 | Popup focus and back buffer interaction logic investigation |  |  |
| #944 | " | 🔵 | Active pane rendering state controlled by is_active parameter |  |  |
| #945 | 8:36 AM | 🔵 | EditorElement receives is_active flag for final rendering |  |  |
| #946 | " | 🔄 | Introduced render_active flag to unify popup-aware rendering logic |  |  |
| #947 | 8:37 AM | 🔄 | Applied render_active to pane scroll selection logic |  |  |
| #948 | " | 🔄 | Applied render_active to cursor shape determination |  |  |
| #949 | " | 🔴 | Fixed back buffer visual artifacts when popup is focused |  |  |

**#S308** Systematic bugfix: Replace scattered is_active checks with unified render_active flag to fix visual artifacts when popup overlays are focused in Lattice GPUI text editor (May 24 at 8:39 AM)

**Investigated**: Examined line 984 in window.rs (one of two remaining `is_active` usages found by grep). This was a field assignment to the `EditorElement` struct within the `paint_pane` function. The field controls whether the element paints cursorline background decorations.

**Learned**: The `is_active` field on `EditorElement` is the final control point for cursorline background rendering. By passing `render_active` (which is `is_active && !popup_owns_active`) instead of raw `is_active`, the document pane's cursorline disappears when a popup has focus, completing the inactive appearance. This is edit #8 in a systematic refactor that has now touched: cursor position/shape, scroll position, visual decorations (selection/search/substitute), status bar colors, syntax highlighting visibility, and cursorline background.

**Completed**: Applied edit #8 on line 984: changed `is_active,` to `is_active: render_active,` in the EditorElement field initialization. Ran `cargo check -p lattice-ui-gpui --features window` and confirmed clean compilation with no errors. The `render_active` flag now flows through all rendering decisions that should suppress when a popup owns focus.

**Next Steps**: Examine the final remaining `is_active` usage on line 603 (the other result from the grep). Determine if it also needs to use `render_active` or if it's in a context where the original `is_active` check is still appropriate. This will complete the systematic scan of all `is_active` references in the paint_pane function.


Access 375k tokens of past research & decisions for just 17,116t. Use the claude-mem skill to access memories by ID.
